Date,Close/Last,Volume,Open,High,Low,Adjusted Close
05/19/2014,74.5,N/A,74.5,74.5,74.5,49.7998
05/16/2014,74.04,N/A,74.04,74.04,74.04,49.4923
05/15/2014,73.74,N/A,73.74,73.74,73.74,49.2918
05/14/2014,74.47,N/A,74.47,74.47,74.47,49.7798
05/13/2014,74.89,N/A,74.89,74.89,74.89,50.0605
05/12/2014,74.86,N/A,74.86,74.86,74.86,50.0405
05/09/2014,73.77,N/A,73.77,73.77,73.77,49.3119
05/08/2014,73.42,N/A,73.42,73.42,73.42,49.0779
05/07/2014,73.61,N/A,73.61,73.61,73.61,49.2049
05/06/2014,73.8,N/A,73.8,73.8,73.8,49.3319
05/05/2014,74.73,N/A,74.73,74.73,74.73,49.9536
05/02/2014,74.34,N/A,74.34,74.34,74.34,49.6929
05/01/2014,74.45,N/A,74.45,74.45,74.45,49.7664
04/30/2014,74.05,N/A,74.05,74.05,74.05,49.499
04/29/2014,73.79,N/A,73.79,73.79,73.79,49.3252
04/28/2014,73.11,N/A,73.11,73.11,73.11,48.8707
04/25/2014,73.28,N/A,73.28,73.28,73.28,48.9843
04/24/2014,74.54,N/A,74.54,74.54,74.54,49.8266
04/23/2014,74.6,N/A,74.6,74.6,74.6,49.8667
04/22/2014,75.06,N/A,75.06,75.06,75.06,50.1742
04/21/2014,74.13,N/A,74.13,74.13,74.13,49.5525
04/18/2014,73.73,N/A,73.73,73.73,73.73,49.2851
04/17/2014,73.73,N/A,73.73,73.73,73.73,49.2851
04/16/2014,73.66,N/A,73.66,73.66,73.66,49.2383
04/15/2014,72.57,N/A,72.57,72.57,72.57,48.5097
04/14/2014,72.04,N/A,72.04,72.04,72.04,48.1554
04/11/2014,71.34,N/A,71.34,71.34,71.34,47.6875
04/10/2014,72.27,N/A,72.27,72.27,72.27,48.3092
04/09/2014,74.42,N/A,74.42,74.42,74.42,49.7464
04/08/2014,73.05,N/A,73.05,73.05,73.05,48.8306
04/07/2014,72.67,N/A,72.67,72.67,72.67,48.5766
04/04/2014,73.73,N/A,73.73,73.73,73.73,49.2851
04/03/2014,75.36,N/A,75.36,75.36,75.36,50.3747
04/02/2014,75.85,N/A,75.85,75.85,75.85,50.7022
04/01/2014,75.68,N/A,75.68,75.68,75.68,50.5886
03/31/2014,74.76,N/A,74.76,74.76,74.76,49.9736
03/28/2014,74.18,N/A,74.18,74.18,74.18,49.5859
03/27/2014,74.02,N/A,74.02,74.02,74.02,49.479
03/26/2014,74.15,N/A,74.15,74.15,74.15,49.5659
03/25/2014,74.97,N/A,74.97,74.97,74.97,50.114
03/24/2014,74.99,N/A,74.99,74.99,74.99,50.1274
03/21/2014,75.71,N/A,75.71,75.71,75.71,50.6087
